method,init,condition,profile,temperature_C,aggregation,mae,rmse,recovery_time_s,recovered,residual_error_1800s_pp,mean_lambda,inflated_fraction,diverged,n_samples,lambda_min,nis_threshold,nis_ema_beta
hysteresis_2rc_ekf,minus10pp,FUDS_30C,FUDS,30.0,condition,8.093426574065878,8.16040701737194,,0.0,-8.465145869400049,1.0,0.0,False,7397,,,
hysteresis_2rc_ekf,oracle,US06_30C,US06,30.0,condition,0.04540962465287632,0.049452872293626625,0.0,1.0,-0.02632481364760464,1.0,0.0,False,6953,,,
hysteresis_2rc_ekf,minus5pp,US06_30C,US06,30.0,condition,1.5055205882732274,1.5056458673780373,2.014100000000326,1.0,-1.487666582396141,1.0,0.0,False,6953,,,
hysteresis_2rc_ekf,minus10pp,US06_30C,US06,30.0,condition,8.778791675119926,8.812107615671966,,0.0,-8.96232094234637,1.0,0.0,False,6953,,,
hysteresis_2rc_ekf,oracle,DST_40C,DST,40.0,condition,0.4218024246751715,0.4659327472069722,0.0,1.0,-0.2823745225722152,1.0,0.0,False,7397,,,
hysteresis_2rc_ekf,minus5pp,DST_40C,DST,40.0,condition,0.8104011779002075,0.8347424611662116,2.0091410000004544,1.0,-0.6620866615989041,1.0,0.0,False,7397,,,
hysteresis_2rc_ekf,minus10pp,DST_40C,DST,40.0,condition,8.351065412578846,8.446533525209825,,0.0,-8.619697554275463,1.0,0.0,False,7397,,,
hysteresis_2rc_ekf,oracle,FUDS_40C,FUDS,40.0,condition,0.40960703547642463,0.4836722902277031,0.0,1.0,-0.2171920807944594,1.0,0.0,False,7529,,,
hysteresis_2rc_ekf,minus5pp,FUDS_40C,FUDS,40.0,condition,1.1785181085394147,1.2038801012251272,48.15288999999757,1.0,-1.0005006422358909,1.0,0.0,False,7529,,,
hysteresis_2rc_ekf,minus10pp,FUDS_40C,FUDS,40.0,condition,1.472894349526848,1.5033357872744009,193.76528999999937,1.0,-1.2459451901402296,1.0,0.0,False,7529,,,
hysteresis_2rc_ekf,oracle,US06_40C,US06,40.0,condition,0.17560948421967126,0.1960817695828997,0.0,1.0,0.1010991173152509,1.0,0.0,False,7095,,,
hysteresis_2rc_ekf,minus5pp,US06_40C,US06,40.0,condition,1.4441961017568254,1.4470753093197355,2227.0582500000014,1.0,-1.5164397374042182,1.0,0.0,False,7095,,,
hysteresis_2rc_ekf,minus10pp,US06_40C,US06,40.0,condition,8.705810416362922,8.766883799649184,,0.0,-9.021909197947819,1.0,0.0,False,7095,,,
