chemistry,method,init_condition,precision,fold,temperature_C,mae_pct,rmse_pct,n_points,status,reason
NMC,1RC_EKF,oracle,fp64,FUDS,45,2.2610863895387543,MISSING_not_recorded,11577,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_EKF,oracle,fp64,FUDS,0,2.19328852288396,MISSING_not_recorded,9658,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_EKF,oracle,fp64,FUDS,25,1.53920774213061,MISSING_not_recorded,11043,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_EKF,oracle,fp64,FUDS,45,3.0904778458393865,MISSING_not_recorded,11577,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_UKF,oracle,fp64,FUDS,0,2.5860259132940326,MISSING_not_recorded,9658,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_UKF,oracle,fp64,FUDS,25,2.116893447617356,MISSING_not_recorded,11043,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_UKF,oracle,fp64,FUDS,45,40.38041170911691,MISSING_not_recorded,11577,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,Adaptive_2RC_EKF,oracle,fp64,FUDS,0,2.0798787916067263,MISSING_not_recorded,9658,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,Adaptive_2RC_EKF,oracle,fp64,FUDS,25,1.5567313860802163,MISSING_not_recorded,11043,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,Adaptive_2RC_EKF,oracle,fp64,FUDS,45,3.1082263497326124,MISSING_not_recorded,11577,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,CC,oracle,fp32,FUDS,0,0.0257189393885298,MISSING_not_recorded,9658,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,CC,oracle,fp32,FUDS,25,0.0913628782257884,MISSING_not_recorded,11043,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,CC,oracle,fp32,FUDS,45,0.113795884157911,MISSING_not_recorded,11577,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,1RC_EKF,oracle,fp64,US06,0,2.0582449658742634,MISSING_not_recorded,9433,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,1RC_EKF,oracle,fp64,US06,25,1.4592331949042967,MISSING_not_recorded,10631,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,1RC_EKF,oracle,fp64,US06,45,2.099810762577914,MISSING_not_recorded,10835,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_EKF,oracle,fp64,US06,0,1.865786807784523,MISSING_not_recorded,9433,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_EKF,oracle,fp64,US06,25,0.8235336863081044,MISSING_not_recorded,10631,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_EKF,oracle,fp64,US06,45,1.160542792822969,MISSING_not_recorded,10835,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_UKF,oracle,fp64,US06,0,1.7763036940737336,MISSING_not_recorded,9433,PASS,actual MCU precision; no precision relabeling or mixed aggregation
