feature,fold,seed,temp,reset_trial,reset_index,time_to_recover_within_1pct_s,recovered,observation_horizon_s
T6_plain,DST,0,40.0,0,1930,2592.40196,True,5531.103303999999
T6_plain,DST,0,40.0,1,2847,1740.6737290000005,True,4609.963468
T6_plain,DST,0,40.0,2,3194,1393.7766890000003,True,4262.0625279999995
T6_plain,DST,0,40.0,3,5253,460.52635799999916,True,2197.610427999999
T6_plain,DST,0,40.0,4,5555,517.8465000000006,True,1894.9348099999997
T6_plain,DST,0,50.0,0,872,1242.5862399999996,True,6608.624381
T6_plain,DST,0,50.0,1,2634,1958.917801999999,True,4841.90867
T6_plain,DST,0,50.0,2,3562,646.871795,True,3911.1898499999998
T6_plain,DST,0,50.0,3,4924,791.3056419999994,True,2545.316422
T6_plain,DST,0,50.0,4,5783,255.01080000000002,True,1684.210290000001
T6_plain,DST,1,-10.0,0,1252,2248.2734440000004,True,4042.141624
T6_plain,DST,1,-10.0,1,1633,1511.2797400000004,True,3659.9274100000002
T6_plain,DST,1,-10.0,2,2760,54.15162999999984,True,2529.67128
T6_plain,DST,1,-10.0,3,3121,126.05384999999978,True,2167.69908
T6_plain,DST,1,-10.0,4,4647,284.7433400000009,True,637.5756700000002
T6_plain,DST,1,0.0,0,1499,2018.0991960000001,True,5234.889372000001
T6_plain,DST,1,0.0,1,2442,2132.9039589999993,True,4288.752458999999
T6_plain,DST,1,0.0,2,3298,912.9724769999989,True,3430.8539269999997
T6_plain,DST,1,0.0,3,4566,1441.0402699999995,True,2158.8666699999994
T6_plain,DST,1,0.0,4,5069,246.2132500000007,True,1654.9745600000006
T6_plain,DST,1,10.0,0,1250,2606.5269350000003,True,5845.362969
T6_plain,DST,1,10.0,1,2134,1741.8371659999993,True,4958.551092
T6_plain,DST,1,10.0,2,3187,1746.839140999999,True,3902.6457809999997
T6_plain,DST,1,10.0,3,4948,1418.8766699999996,True,2136.7106999999996
T6_plain,DST,1,10.0,4,5575,444.45214000000124,True,1508.1848800000007
T6_plain,DST,1,20.0,0,731,3131.2805529999987,True,6589.081189999998
T6_plain,DST,1,20.0,1,1908,2310.264037,True,5408.498726999998
T6_plain,DST,1,20.0,2,4015,919.4168030000001,True,3294.7940249999983
T6_plain,DST,1,20.0,3,4949,1489.4048760000005,True,2358.3545859999986
T6_plain,DST,1,20.0,4,5731,402.0610400000005,True,1575.0219999999981
T6_plain,DST,1,25.0,0,1348,3009.887087000001,True,6035.080707999999
T6_plain,DST,1,25.0,1,2252,1985.9469600000002,True,5128.954948999998
T6_plain,DST,1,25.0,2,3970,49.201476999998704,True,3406.3039149999977
T6_plain,DST,1,25.0,3,4295,273.5020139999997,True,3079.681672999998
T6_plain,DST,1,25.0,4,5535,504.70694000000094,True,1836.660789999999
T6_plain,DST,1,30.0,0,1155,967.0961120000002,True,6301.794534999999
T6_plain,DST,1,30.0,1,3084,1264.1958899999995,True,4367.160707999999
T6_plain,DST,1,30.0,2,3470,1100.0714610000014,True,3980.0261409999994
T6_plain,DST,1,30.0,3,5241,281.6363760000004,True,2204.160005999999
T6_plain,DST,1,30.0,4,6092,148.10621999999967,True,1350.5837599999986
T6_plain,DST,1,40.0,0,1930,2264.5909489999995,True,5531.103303999999
T6_plain,DST,1,40.0,1,2847,1504.325792,True,4609.963468
T6_plain,DST,1,40.0,2,3194,1167.4814370000004,True,4262.0625279999995
T6_plain,DST,1,40.0,3,5253,420.3243879999991,True,2197.610427999999
T6_plain,DST,1,40.0,4,5555,384.1334800000004,True,1894.9348099999997
T6_plain,DST,1,50.0,0,872,1158.1604509999997,True,6608.624381
T6_plain,DST,1,50.0,1,2634,1901.6562999999996,True,4841.90867
T6_plain,DST,1,50.0,2,3562,64.01392799999985,True,3911.1898499999998
T6_plain,DST,1,50.0,3,4924,722.0226989999992,True,2545.316422
T6_plain,DST,1,50.0,4,5783,49.2116500000011,True,1684.210290000001
T6_plain,DST,2,-10.0,0,1252,2270.333584,True,4042.141624
T6_plain,DST,2,-10.0,1,1633,1886.1193600000006,True,3659.9274100000002
T6_plain,DST,2,-10.0,2,2760,49.141580000000886,True,2529.67128
T6_plain,DST,2,-10.0,3,3121,127.05385999999999,True,2167.69908
T6_plain,DST,2,-10.0,4,4647,400.9475199999997,True,637.5756700000002
T6_plain,DST,2,0.0,0,1499,2382.187641,True,5234.889372000001
T6_plain,DST,2,0.0,1,2442,2158.0341689999987,True,4288.752458999999
